Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$100,000 under $200,000",14172," 14,997 ", 158 
"$200,000 or more",14172," 5,818 ", 21 
,,,
,14173," 5,790 ", 324 
"Under $10,000",14173, -   , 60 
"$10,000 under $25,000",14173, 578 , 104 
"$25,000 under $50,000",14173," 1,847 ", 92 
"$50,000 under $75,000",14173," 1,813 ", 43 
"$75,000 under $100,000",14173," 1,553 ", 25 
"$100,000 under $200,000",14173, . , * 
"$200,000 or more",14173, . , * 
,,,
,14174," 144,318 "," 2,925 "
"Under $10,000",14174, 147 , 527 
"$10,000 under $25,000",14174," 2,996 ", 584 
"$25,000 under $50,000",14174," 11,762 ", 575 
"$50,000 under $75,000",14174," 17,090 ", 423 
"$75,000 under $100,000",14174," 21,083 ", 349 
"$100,000 under $200,000",14174," 36,375 ", 371 
"$200,000 or more",14174," 54,865 ", 96 
,,,
,14201," 79,079 "," 4,407 "
"Under $10,000",14201, 119 ," 1,159 "
"$10,000 under $25,000",14201," 7,955 "," 1,590 "
"$25,000 under $50,000",14201," 22,064 "," 1,022 "
"$50,000 under $75,000",14201," 13,828 ", 313 
"$75,000 under $100,000",14201," 10,138 ", 153 
"$100,000 under $200,000",14201," 13,503 ", 130 
"$200,000 or more",14201," 11,473 ", 40 
,,,
,14202," 123,229 "," 1,615 "
"Under $10,000",14202, 41 , 305 
"$10,000 under $25,000",14202," 2,730 ", 451 
"$25,000 under $50,000",14202," 8,428 ", 377 
"$50,000 under $75,000",14202," 6,367 ", 146 
"$75,000 under $100,000",14202," 4,882 ", 75 
"$100,000 under $200,000",14202," 15,409 ", 148 
"$200,000 or more",14202," 85,373 ", 113 
,,,
,14203," 23,967 ", 624 
"Under $10,000",14203, 7 , 175 
"$10,000 under $25,000",14203, 866 , 163 
"$25,000 under $50,000",14203," 3,469 ", 152 
"$50,000 under $75,000",14203," 2,639 ", 58 
"$75,000 under $100,000",14203," 1,864 ", 26 
"$100,000 under $200,000",14203," 2,933 ", 31 
"$200,000 or more",14203," 12,189 ", 19 
,,,
,14204," 46,100 "," 3,294 "
"Under $10,000",14204, 98 , 924 
"$10,000 under $25,000",14204," 5,037 "," 1,179 "
"$25,000 under $50,000",14204," 15,405 ", 771 
"$50,000 under $75,000",14204," 10,056 ", 239 
"$75,000 under $100,000",14204," 7,204 ", 112 
"$100,000 under $200,000",14204," 8,300 ", 69 
"$200,000 or more",14204, . , * 
,,,
,14206," 169,459 "," 9,510 "
"Under $10,000",14206, 357 ," 1,941 "
"$10,000 under $25,000",14206," 16,441 "," 3,015 "
"$25,000 under $50,000",14206," 58,232 "," 2,773 "
"$50,000 under $75,000",14206," 48,243 "," 1,154 "
"$75,000 under $100,000",14206," 27,164 ", 429 
"$100,000 under $200,000",14206," 19,022 ", 198 
"$200,000 or more",14206, . , * 
,,,
,14207," 118,815 "," 9,138 "
"Under $10,000",14207, 314 ," 2,388 "
"$10,000 under $25,000",14207," 15,713 "," 3,355 "
"$25,000 under $50,000",14207," 44,337 "," 2,289 "
"$50,000 under $75,000",14207," 30,861 ", 731 
"$75,000 under $100,000",14207," 17,739 ", 280 
"$100,000 under $200,000",14207," 9,851 ", 95 
"$200,000 or more",14207, . , * 
,,,
,14208," 45,279 "," 3,467 "
"Under $10,000",14208, 113 , 920 
"$10,000 under $25,000",14208," 5,572 "," 1,273 "
"$25,000 under $50,000",14208," 16,418 ", 849 
"$50,000 under $75,000",14208," 11,678 ", 276 
"$75,000 under $100,000",14208," 6,036 ", 96 
"$100,000 under $200,000",14208," 5,462 ", 53 
"$200,000 or more",14208, . , * 
,,,
,14209," 125,578 "," 3,531 "
"Under $10,000",14209, 144 , 778 
"$10,000 under $25,000",14209," 5,373 ", 947 
"$25,000 under $50,000",14209," 21,473 ", 930 
"$50,000 under $75,000",14209," 16,739 ", 378 
"$75,000 under $100,000",14209," 10,421 ", 160 
"$100,000 under $200,000",14209," 21,797 ", 212 
"$200,000 or more",14209," 49,631 ", 126 
,,,
,14210," 104,434 "," 6,453 "
"Under $10,000",14210, 227 ," 1,459 "
"$10,000 under $25,000",14210," 10,958 "," 2,142 "
"$25,000 under $50,000",14210," 37,055 "," 1,785 "
"$50,000 under $75,000",14210," 29,382 ", 698 
"$75,000 under $100,000",14210," 16,910 ", 269 
"$100,000 under $200,000",14210," 9,902 ", 100 
"$200,000 or more",14210, . , * 
,,,
,14211," 95,079 "," 8,340 "
"Under $10,000",14211, 287 ," 2,305 "
"$10,000 under $25,000",14211," 12,145 "," 3,123 "
"$25,000 under $50,000",14211," 39,874 "," 2,105 "
"$50,000 under $75,000",14211," 22,513 ", 538 
"$75,000 under $100,000",14211," 10,955 ", 174 
"$100,000 under $200,000",14211," 9,305 ", 95 
"$200,000 or more",14211, . , * 
,,,
,14212," 56,612 "," 4,060 "
"Under $10,000",14212, 156 ," 1,045 "
"$10,000 under $25,000",14212," 6,217 "," 1,427 "
"$25,000 under $50,000",14212," 21,683 "," 1,069 "
"$50,000 under $75,000",14212," 13,852 ", 335 
"$75,000 under $100,000",14212," 8,154 ", 133 
"$100,000 under $200,000",14212," 6,550 ", 51 
"$200,000 or more",14212, . , * 
,,,
,14213," 102,627 "," 8,231 "
"Under $10,000",14213, 244 ," 2,374 "
"$10,000 under $25,000",14213," 13,753 "," 3,157 "
"$25,000 under $50,000",14213," 36,175 "," 1,840 "
"$50,000 under $75,000",14213," 22,303 ", 521 
"$75,000 under $100,000",14213," 11,772 ", 183 
"$100,000 under $200,000",14213," 13,715 ", 138 
"$200,000 or more",14213," 4,664 ", 18 
,,,
,14214," 223,178 "," 7,652 "
"Under $10,000",14214, 496 ," 1,907 "
"$10,000 under $25,000",14214," 11,101 "," 1,966 "
"$25,000 under $50,000",14214," 38,735 "," 1,786 "
"$50,000 under $75,000",14214," 35,846 ", 831 
"$75,000 under $100,000",14214," 26,719 ", 428 
"$100,000 under $200,000",14214," 59,496 ", 581 
"$200,000 or more",14214," 50,784 ", 153 
,,,
,14215," 255,771 "," 16,286 "
"Under $10,000",14215, 602 ," 3,864 "
"$10,000 under $25,000",14215," 23,387 "," 5,411 "
"$25,000 under $50,000",14215," 84,607 "," 4,416 "
"$50,000 under $75,000",14215," 66,305 "," 1,564 "
"$75,000 under $100,000",14215," 38,548 ", 615 
"$100,000 under $200,000",14215," 37,840 ", 397 
"$200,000 or more",14215," 4,482 ", 19 
,,,
,14216," 366,513 "," 11,245 "
"Under $10,000",14216, 512 ," 2,054 "
"$10,000 under $25,000",14216," 17,171 "," 2,799 "
"$25,000 under $50,000",14216," 71,180 "," 3,179 "
"$50,000 under $75,000",14216," 67,095 "," 1,555 "
"$75,000 under $100,000",14216," 47,245 ", 744 
"$100,000 under $200,000",14216," 71,175 ", 710 
"$200,000 or more",14216," 92,136 ", 204 
,,,
,14217," 339,506 "," 11,894 "
"Under $10,000",14217, 680 ," 2,081 "
"$10,000 under $25,000",14217," 16,456 "," 2,751 "
"$25,000 under $50,000",14217," 69,732 "," 3,212 "
"$50,000 under $75,000",14217," 79,097 "," 1,896 "
"$75,000 under $100,000",14217," 68,140 "," 1,099 "
"$100,000 under $200,000",14217," 70,403 ", 739 
"$200,000 or more",14217," 34,999 ", 116 
,,,
,14218," 174,877 "," 8,896 "
"Under $10,000",14218, 406 ," 1,835 "
"$10,000 under $25,000",14218," 13,734 "," 2,675 "
"$25,000 under $50,000",14218," 52,561 "," 2,515 "
"$50,000 under $75,000",14218," 45,411 "," 1,089 "
"$75,000 under $100,000",14218," 30,876 ", 489 
"$100,000 under $200,000",14218," 26,543 ", 276 
"$200,000 or more",14218," 5,347 ", 17 
,,,
,14219," 143,298 "," 6,011 "
"Under $10,000",14219, 316 ," 1,047 "
"$10,000 under $25,000",14219," 9,041 "," 1,588 "
"$25,000 under $50,000",14219," 34,547 "," 1,651 "
"$50,000 under $75,000",14219," 40,176 ", 970 
"$75,000 under $100,000",14219," 29,648 ", 483 
"$100,000 under $200,000",14219," 23,860 ", 253 
"$200,000 or more",14219," 5,708 ", 19 
,,,
,14220," 279,528 "," 11,783 "
"Under $10,000",14220, 605 ," 2,137 "
"$10,000 under $25,000",14220," 18,075 "," 3,168 "
"$25,000 under $50,000",14220," 72,206 "," 3,338 "
"$50,000 under $75,000",14220," 68,733 "," 1,634 "
"$75,000 under $100,000",14220," 55,886 ", 888 
"$100,000 under $200,000",14220," 56,270 ", 591 
"$200,000 or more",14220," 7,754 ", 27 
,,,
,14221," 1,566,087 "," 27,132 "
"Under $10,000",14221," 1,962 "," 5,074 "
"$10,000 under $25,000",14221," 22,708 "," 4,062 "
"$25,000 under $50,000",14221," 101,294 "," 4,817 "
"$50,000 under $75,000",14221," 162,687 "," 3,987 "
"$75,000 under $100,000",14221," 191,286 "," 3,171 "
"$100,000 under $200,000",14221," 438,866 "," 4,399 "
"$200,000 or more",14221," 647,284 "," 1,622 "
,,,
,14222," 253,402 "," 5,966 "
"Under $10,000",14222, 298 ," 1,101 "
"$10,000 under $25,000",14222," 9,609 "," 1,340 "
"$25,000 under $50,000",14222," 37,756 "," 1,554 "
"$50,000 under $75,000",14222," 32,741 ", 733 
"$75,000 under $100,000",14222," 27,769 ", 432 
"$100,000 under $200,000",14222," 56,568 ", 535 
"$200,000 or more",14222," 88,660 ", 271 
,,,
,14223," 377,192 "," 12,312 "
"Under $10,000",14223, 778 ," 2,096 "
"$10,000 under $25,000",14223," 15,041 "," 2,600 "
"$25,000 under $50,000",14223," 67,266 "," 3,096 "
"$50,000 under $75,000",14223," 87,280 "," 2,091 "
"$75,000 under $100,000",14223," 82,134 "," 1,324 "
"$100,000 under $200,000",14223," 98,519 "," 1,011 "
"$200,000 or more",14223," 26,175 ", 94 
,,,
,14224," 677,894 "," 21,840 "
"Under $10,000",14224," 1,371 "," 4,251 "
"$10,000 under $25,000",14224," 25,300 "," 4,402 "
"$25,000 under $50,000",14224," 112,264 "," 5,189 "
"$50,000 under $75,000",14224," 144,733 "," 3,485 "
"$75,000 under $100,000",14224," 146,656 "," 2,390 "
"$100,000 under $200,000",14224," 184,481 "," 1,950 "
"$200,000 or more",14224," 63,089 ", 173 
,,,
,14225," 413,584 "," 17,805 "
"Under $10,000",14225, 904 ," 3,052 "
"$10,000 under $25,000",14225," 26,171 "," 4,632 "
"$25,000 under $50,000",14225," 111,663 "," 5,227 "
"$50,000 under $75,000",14225," 114,727 "," 2,799 "
"$75,000 under $100,000",14225," 84,290 "," 1,361 "
"$100,000 under $200,000",14225," 64,841 ", 688 
"$200,000 or more",14225," 10,988 ", 46 
,,,
,14226," 706,718 "," 14,784 "
"Under $10,000",14226," 1,015 "," 2,784 "
"$10,000 under $25,000",14226," 16,171 "," 2,762 "
"$25,000 under $50,000",14226," 70,099 "," 3,240 "
"$50,000 under $75,000",14226," 93,324 "," 2,238 "
"$75,000 under $100,000",14226," 87,859 "," 1,438 "
"$100,000 under $200,000",14226," 167,316 "," 1,691 "
"$200,000 or more",14226," 270,932 ", 631 
,,,
,14227," 326,825 "," 12,127 "
"Under $10,000",14227, 723 ," 1,910 "
"$10,000 under $25,000",14227," 16,645 "," 2,879 "
"$25,000 under $50,000",14227," 72,892 "," 3,339 "
"$50,000 under $75,000",14227," 84,846 "," 2,038 "
"$75,000 under $100,000",14227," 73,997 "," 1,203 "
"$100,000 under $200,000",14227," 66,715 ", 715 
"$200,000 or more",14227," 11,006 ", 43 
,,,
,14228," 318,995 "," 9,066 "
"Under $10,000",14228, 644 ," 1,772 "
"$10,000 under $25,000",14228," 11,345 "," 1,911 "
"$25,000 under $50,000",14228," 44,090 "," 2,028 "
"$50,000 under $75,000",14228," 54,982 "," 1,314 "
"$75,000 under $100,000",14228," 53,252 ", 860 
"$100,000 under $200,000",14228," 95,844 ", 976 
"$200,000 or more",14228," 58,838 ", 205 
,,,
,14231," 11,778 ", 267 
"Under $10,000",14231, -   , 57 
"$10,000 under $25,000",14231, 318 , 53 
"$25,000 under $50,000",14231," 1,310 ", 61 
"$50,000 under $75,000",14231," 1,270 ", 28 
"$75,000 under $100,000",14231," 1,512 ", 25 
"$100,000 under $200,000",14231," 2,460 ", 26 
"$200,000 or more",14231," 4,908 ", 17 
,,,
,14240," 10,708 ", 302 
"Under $10,000",14240, -   , 49 
"$10,000 under $25,000",14240, 475 , 85 
"$25,000 under $50,000",14240," 2,361 ", 101 
"$50,000 under $75,000",14240," 1,830 ", 40 
"$75,000 under $100,000",14240, 864 , 13 
"$100,000 under $200,000",14240," 5,179 ", 14 
"$200,000 or more",14240, . , * 
,,,
,14301," 73,641 "," 5,367 "
"Under $10,000",14301, 205 ," 1,441 "
"$10,000 under $25,000",14301," 9,304 "," 1,967 "
"$25,000 under $50,000",14301," 26,158 "," 1,289 "
"$50,000 under $75,000",14301," 17,058 ", 401 
"$75,000 under $100,000",14301," 11,104 ", 181 
"$100,000 under $200,000",14301," 9,812 ", 88 
"$200,000 or more",14301, . , * 
,,,
,14302," 5,362 ", 251 
"Under $10,000",14302, -   , 49 
"$10,000 under $25,000",14302, 437 , 77 
"$25,000 under $50,000",14302," 1,219 ", 58 
"$50,000 under $75,000",14302," 1,349 ", 33 
"$75,000 under $100,000",14302," 2,357 ", 34 
"$100,000 under $200,000",14302, . , * 
"$200,000 or more",14302, . , . 
,,,
,14303," 35,087 "," 2,522 "
"Under $10,000",14303, 79 , 658 
"$10,000 under $25,000",14303," 4,521 ", 917 
"$25,000 under $50,000",14303," 12,611 ", 616 
"$50,000 under $75,000",14303," 9,355 ", 217 
"$75,000 under $100,000",14303," 4,698 ", 75 
"$100,000 under $200,000",14303," 3,824 ", 39 
"$200,000 or more",14303, . , * 
,,,
,14304," 378,330 "," 15,229 "
"Under $10,000",14304, 825 ," 2,822 "
"$10,000 under $25,000",14304," 21,926 "," 4,002 "
"$25,000 under $50,000",14304," 81,273 "," 3,932 "
"$50,000 under $75,000",14304," 90,453 "," 2,214 "
"$75,000 under $100,000",14304," 78,414 "," 1,277 "
"$100,000 under $200,000",14304," 85,666 ", 914 
"$200,000 or more",14304," 19,773 ", 68 
,,,
,14305," 149,737 "," 7,274 "
"Under $10,000",14305, 313 ," 1,708 "
"$10,000 under $25,000",14305," 9,810 "," 2,180 "
"$25,000 under $50,000",14305," 34,090 "," 1,722 "
"$50,000 under $75,000",14305," 35,942 ", 876 
"$75,000 under $100,000",14305," 26,272 ", 424 
"$100,000 under $200,000",14305," 32,884 ", 340 
"$200,000 or more",14305," 10,426 ", 24 
,,,
,14411," 126,955 "," 5,581 "
"Under $10,000",14411, 282 ," 1,091 "
"$10,000 under $25,000",14411," 7,346 "," 1,492 "
"$25,000 under $50,000",14411," 29,397 "," 1,507 "
"$50,000 under $75,000",14411," 31,136 ", 773 
"$75,000 under $100,000",14411," 25,159 ", 413 
"$100,000 under $200,000",14411," 26,290 ", 278 
"$200,000 or more",14411," 7,344 ", 27 
,,,
,14414," 110,594 "," 3,494 "
"Under $10,000",14414, 152 , 622 
"$10,000 under $25,000",14414," 4,134 ", 746 
"$25,000 under $50,000",14414," 16,841 ", 798 
"$50,000 under $75,000",14414," 23,915 ", 574 
"$75,000 under $100,000",14414," 22,607 ", 371 
"$100,000 under $200,000",14414," 33,421 ", 353 
"$200,000 or more",14414," 9,524 ", 30 
,,,
,14416," 52,353 "," 1,950 "
"Under $10,000",14416, 125 , 357 
"$10,000 under $25,000",14416," 2,165 ", 423 
"$25,000 under $50,000",14416," 9,212 ", 461 
"$50,000 under $75,000",14416," 12,230 ", 308 
"$75,000 under $100,000",14416," 13,520 ", 224 
"$100,000 under $200,000",14416," 15,102 ", 167 
"$200,000 or more",14416, -   , 10 
,,,
,14418," 14,097 ", 592 
"Under $10,000",14418, 22 , 110 
"$10,000 under $25,000",14418, 751 , 152 
"$25,000 under $50,000",14418," 2,691 ", 146 
"$50,000 under $75,000",14418," 3,657 ", 93 
"$75,000 under $100,000",14418," 3,217 ", 53 
"$100,000 under $200,000",14418," 3,760 ", 38 
"$200,000 or more",14418, . , * 
,,,
,14420," 236,304 "," 7,603 "
"Under $10,000",14420, 507 ," 1,487 "
"$10,000 under $25,000",14420," 9,095 "," 1,636 "
"$25,000 under $50,000",14420," 32,684 "," 1,623 "
"$50,000 under $75,000",14420," 45,415 "," 1,145 "
"$75,000 under $100,000",14420," 50,292 ", 836 
"$100,000 under $200,000",14420," 75,384 ", 793 
"$200,000 or more",14420," 22,927 ", 83 
,,,
,14422," 32,246 "," 1,068 "
"Under $10,000",14422, 81 , 199 
"$10,000 under $25,000",14422," 1,168 ", 207 
"$25,000 under $50,000",14422," 5,214 ", 263 
"$50,000 under $75,000",14422," 6,762 ", 172 
"$75,000 under $100,000",14422," 7,950 ", 131 
"$100,000 under $200,000",14422," 11,071 ", 96 
"$200,000 or more",14422, . , * 
,,,
,14423," 68,979 "," 2,368 "
"Under $10,000",14423, 121 , 411 
"$10,000 under $25,000",14423," 3,064 ", 526 
"$25,000 under $50,000",14423," 11,672 ", 574 
"$50,000 under $75,000",14423," 16,379 ", 401 
"$75,000 under $100,000",14423," 15,062 ", 247 
"$100,000 under $200,000",14423," 17,303 ", 190 
"$200,000 or more",14423," 5,378 ", 19 
,,,
,14424," 459,689 "," 13,259 "
"Under $10,000",14424, 788 ," 2,586 "
"$10,000 under $25,000",14424," 16,356 "," 2,879 "
"$25,000 under $50,000",14424," 61,947 "," 3,024 "
"$50,000 under $75,000",14424," 73,728 "," 1,843 "
"$75,000 under $100,000",14424," 71,283 "," 1,202 "
"$100,000 under $200,000",14424," 131,974 "," 1,381 "
"$200,000 or more",14424," 103,611 ", 344 
,,,
,14425," 161,649 "," 5,115 "
"Under $10,000",14425, 316 , 929 
"$10,000 under $25,000",14425," 5,599 ", 946 
"$25,000 under $50,000",14425," 25,400 "," 1,209 "
"$50,000 under $75,000",14425," 34,758 ", 869 
"$75,000 under $100,000",14425," 36,885 ", 611 
"$100,000 under $200,000",14425," 48,385 ", 516 
"$200,000 or more",14425," 10,306 ", 35 
,,,
,14427," 24,678 "," 1,000 "
"Under $10,000",14427, 54 , 188 
"$10,000 under $25,000",14427," 1,381 ", 236 
"$25,000 under $50,000",14427," 5,709 ", 281 
"$50,000 under $75,000",14427," 6,484 ", 158 
"$75,000 under $100,000",14427," 4,827 ", 77 
"$100,000 under $200,000",14427," 6,225 ", 60 
"$200,000 or more",14427, . , * 
,,,
,14428," 155,730 "," 4,231 "
"Under $10,000",14428, 283 , 726 
"$10,000 under $25,000",14428," 4,501 ", 741 
"$25,000 under $50,000",14428," 18,943 ", 917 
"$50,000 under $75,000",14428," 28,748 ", 709 
"$75,000 under $100,000",14428," 33,421 ", 559 
"$100,000 under $200,000",14428," 49,236 ", 524 
"$200,000 or more",14428," 20,597 ", 55 
,,,
,14432," 69,667 "," 2,632 "
"Under $10,000",14432, 134 , 533 
"$10,000 under $25,000",14432," 3,278 ", 610 
"$25,000 under $50,000",14432," 13,796 ", 650 
"$50,000 under $75,000",14432," 16,975 ", 420 
"$75,000 under $100,000",14432," 13,254 ", 214 
"$100,000 under $200,000",14432," 18,480 ", 192 
"$200,000 or more",14432," 3,749 ", 13 
,,,
,14433," 42,775 "," 2,006 "
"Under $10,000",14433, 108 , 370 
"$10,000 under $25,000",14433," 2,430 ", 506 
"$25,000 under $50,000",14433," 11,783 ", 595 
"$50,000 under $75,000",14433," 12,059 ", 302 
"$75,000 under $100,000",14433," 7,834 ", 131 
"$100,000 under $200,000",14433," 8,560 ", 92 
"$200,000 or more",14433, -   , 10 
,,,
,14435," 52,937 "," 1,498 "
"Under $10,000",14435, 79 , 270 
"$10,000 under $25,000",14435," 1,301 ", 257 
"$25,000 under $50,000",14435," 7,649 ", 357 
"$50,000 under $75,000",14435," 10,132 ", 249 
"$75,000 under $100,000",14435," 11,638 ", 197 
"$100,000 under $200,000",14435," 13,729 ", 143 
"$200,000 or more",14435," 8,408 ", 25 
,,,
,14437," 116,443 "," 4,419 "
"Under $10,000",14437, 215 , 840 
"$10,000 under $25,000",14437," 5,187 "," 1,047 "
"$25,000 under $50,000",14437," 23,348 "," 1,156 "
"$50,000 under $75,000",14437," 28,343 ", 701 
"$75,000 under $100,000",14437," 24,754 ", 394 
"$100,000 under $200,000",14437," 24,155 ", 251 
"$200,000 or more",14437," 10,442 ", 30 
,,,
,14445," 98,559 "," 4,049 "
"Under $10,000",14445, 193 , 748 
"$10,000 under $25,000",14445," 5,688 "," 1,037 "
"$25,000 under $50,000",14445," 26,232 "," 1,233 "
"$50,000 under $75,000",14445," 23,470 ", 581 
"$75,000 under $100,000",14445," 13,749 ", 231 
"$100,000 under $200,000",14445," 17,574 ", 189 
"$200,000 or more",14445," 11,653 ", 30 
,,,
,14450," 1,085,575 "," 21,183 "
"Under $10,000",14450," 1,386 "," 4,031 "
"$10,000 under $25,000",14450," 17,133 "," 3,021 "
"$25,000 under $50,000",14450," 80,592 "," 3,812 "
"$50,000 under $75,000",14450," 113,694 "," 2,834 "
"$75,000 under $100,000",14450," 149,930 "," 2,541 "
"$100,000 under $200,000",14450," 383,677 "," 3,941 "
"$200,000 or more",14450," 339,163 "," 1,003 "
,,,
,14454," 115,599 "," 3,070 "
"Under $10,000",14454, 170 , 591 
"$10,000 under $25,000",14454," 3,239 ", 583 
"$25,000 under $50,000",14454," 13,569 ", 644 
"$50,000 under $75,000",14454," 17,515 ", 435 
"$75,000 under $100,000",14454," 20,991 ", 350 
"$100,000 under $200,000",14454," 39,648 ", 403 
"$200,000 or more",14454," 20,467 ", 64 
,,,
,14456," 239,217 "," 8,634 "
"Under $10,000",14456, 415 ," 1,825 "
"$10,000 under $25,000",14456," 10,666 "," 2,133 "
"$25,000 under $50,000",14456," 44,261 "," 2,162 "
"$50,000 under $75,000",14456," 44,101 "," 1,081 "
"$75,000 under $100,000",14456," 43,641 ", 708 
"$100,000 under $200,000",14456," 60,065 ", 611 
"$200,000 or more",14456," 36,067 ", 114 
,,,
,14462," 8,172 ", 309 
"Under $10,000",14462, 15 , 49 
"$10,000 under $25,000",14462, 305 , 68 
"$25,000 under $50,000",14462," 1,471 ", 71 
"$50,000 under $75,000",14462," 2,701 ", 69 
"$75,000 under $100,000",14462," 2,477 ", 39 
"$100,000 under $200,000",14462," 1,204 ", 13 
"$200,000 or more",14462, . , * 
,,,
,14464," 94,239 "," 3,471 "
"Under $10,000",14464, 224 , 628 
"$10,000 under $25,000",14464," 4,082 ", 781 
"$25,000 under $50,000",14464," 16,527 ", 837 
"$50,000 under $75,000",14464," 22,944 ", 586 
"$75,000 under $100,000",14464," 22,119 ", 371 
"$100,000 under $200,000",14464," 22,830 ", 249 
"$200,000 or more",14464," 5,513 ", 19 
,,,
,14466," 24,008 ", 873 
"Under $10,000",14466, 29 , 155 
"$10,000 under $25,000",14466, 918 , 176 
"$25,000 under $50,000",14466," 4,678 ", 226 
"$50,000 under $75,000",14466," 5,852 ", 152 
"$75,000 under $100,000",14466," 5,413 ", 90 
"$100,000 under $200,000",14466," 7,117 ", 74 
"$200,000 or more",14466, . , * 
,,,
,14467," 156,157 "," 4,735 "
"Under $10,000",14467, 313 , 862 
